"mun","PC2"
"09002",-0.951501680531249
"09003",-1.10298433060525
"09004",-1.19774007263915
"09005",-0.5532088249484
"09006",0.495903810296659
"09007",0.29019376678436
"09008",-0.814414550451561
"09009",0.127854393643811
"09010",-0.753974415142216
"09011",0.0819692669799488
"09012",-0.899159273828631
"09013",0.105920673697777
"09014",-0.936175726452225
"09015",3.00335511574912
"09016",-1.14835275966582
"09017",-0.14756560496097
"13069",-0.099912174121751
"15002",0.359453302376597
"15009",0.278584572756998
"15010",0.109001294231741
"15011",-0.136001827996875
"15013",-0.355285250674191
"15015",0.0287709654439248
"15016",-0.717975509263886
"15017",-0.0852515019158821
"15020",-1.10662852573237
"15022",-0.970900688307677
"15023",-0.0301429782983736
"15024",0.248726873303487
"15025",0.416545729803279
"15028",0.0566950788275236
"15029",0.10013407174802
"15031",1.32785945633243
"15033",0.435187436830142
"15034",-1.37431812354223
"15035",0.936599549770936
"15036",0.695583206927316
"15037",-0.557532663124434
"15038",-1.76011643556175
"15039",0.319315890269827
"15044",-0.528146538307777
"15046",-0.511813904193475
"15050",-0.967723527108887
"15053",-0.00313169543508804
"15057",2.17067447151728
"15058",2.51072378565411
"15059",0.12635398695306
"15060",-0.0183344445068022
"15061",-1.29640619304881
"15065",0.948927263171142
"15069",-0.162767632310407
"15070",1.49677621644369
"15075",1.08393016543498
"15081",-0.329134652185086
"15083",-1.27592681220017
"15084",-0.0658079966332202
"15089",-1.57653885705098
"15091",0.397093853722238
"15092",0.418839728645163
"15093",0.227809151158645
"15094",0.929309553544182
"15095",-0.205098002141014
"15096",0.89116308041803
"15099",0.241208277294747
"15100",1.43225691891483
"15103",-1.40098613543356
"15104",0.216588767377063
"15108",-0.106722907826751
"15109",0.0676670060650864
"15112",-0.904358030986499
"15120",0.328821257688109
"15121",-0.384012556186849
"15122",2.51514168730477
"15125",0.0151131762392447
